gene_description,gene_rank
 LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,3
 LIF receptor subunit alpha,3
 LLGL scribble cell polarity complex component 1,3
" PTTG1 regulator of sister chromatid separation, securin",3
 LLGL scribble cell polarity complex component 2,3
" PGAM family member 5, mitochondrial serine/threonine protein phosphatase",3
 sirtuin 3,3
 PBX homeobox 1,3
 PATJ crumbs cell polarity complex component,3
 single stranded DNA binding protein 1,3
 MAF bZIP transcription factor,3
 solute carrier family 1 member 3,3
" JunB proto-oncogene, AP-1 transcription factor subunit",3
 short chain dehydrogenase/reductase family 16C member 5,3
 GTP cyclohydrolase 1,3
 solute carrier family 38 member 2,3
 GIT ArfGAP 1,3
 GLE1 RNA export mediator,3
" RAB39B, member RAS oncogene family",3
 GTF2H2 family member C,3
" GTF2H2 family member C, copy 2",3
 solute carrier family 3 member 2,3
" HCK proto-oncogene, Src family tyrosine kinase",3
 solute carrier family 1 member 6,3
 solute carrier family 27 member 4,3
 solute carrier family 27 member 2,3
 solute carrier family 27 member 1,3
 IDNK gluconokinase,3
 IL2 inducible T cell kinase,3
 IQ motif containing GTPase activating protein 1,3
 solute carrier family 12 member 2,3
 siah E3 ubiquitin protein ligase 1,3
 OCRL inositol polyphosphate-5-phosphatase,3
 G protein-coupled receptor kinase 7,3
 sepiapterin reductase,3
 serine palmitoyltransferase long chain base subunit 2,3
 serine palmitoyltransferase long chain base subunit 1,3
" MOS proto-oncogene, serine/threonine kinase",3
 NAD synthetase 1,3
" NAD kinase 2, mitochondrial",3
 NAD kinase,3
 N-sulfoglucosamine sulfohydrolase,3
" N-ethylmaleimide sensitive factor, vesicle fusing ATPase",3
 serine palmitoyltransferase long chain base subunit 3,3
" MRE11 homolog, double strand break repair nuclease",3
 serine and arginine rich splicing factor 7,3
 N-acylsphingosine amidohydrolase 2,3
 serine and arginine rich splicing factor 3,3
 N-acetylneuraminic acid phosphatase,3
 N-acetylneuraminate synthase,3
 serine and arginine rich splicing factor 1,3
 selectin P ligand,3
 serine racemase,3
 sestrin 2,3
 MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,3
 MAPK interacting serine/threonine kinase 1,3
 MAPK interacting serine/threonine kinase 2,3
" MAS1 proto-oncogene, G protein-coupled receptor",3
 MBL associated serine protease 1,3
 ring finger and CHY zinc finger domain containing 1,3
 MBL associated serine protease 2,3
 ring finger protein 31,3
 NLR family member X1,3
 secretin receptor,3
 MGAT4 family member C,3
 MGAT4 family member D,3
 scinderin,3
 serine/threonine kinase 3,3
 NCK associated protein 1 like,3
 NCK associated protein 1,3
 secretin,3
 solute carrier family 38 member 3,3
 G protein-coupled receptor kinase 6,3
 Ras related GTP binding A,3
 quinolinate phosphoribosyltransferase,3
 F2R like trypsin receptor 1,3
 pyridoxal kinase,3
 pyridoxal phosphatase,3
 pyridoxamine 5'-phosphate oxidase,3
 pyrroline-5-carboxylate reductase 1,3
 pyrroline-5-carboxylate reductase 2,3
 pyrroline-5-carboxylate reductase 3,3
 sortilin 1,3
 purinergic receptor P2X 7,3
 ralA binding protein 1,3
 sorbitol dehydrogenase,3
 ras homolog family member G,3
 sorbin and SH3 domain containing 1,3
 somatostatin receptor 5,3
 somatostatin receptor 1,3
" RNA polymerase II, I and III subunit L",3
 sperm adhesion molecule 1,3
 spermidine/spermine N1-acetyltransferase 1,3
" RNA polymerase II, I and III subunit H",3
 sphingosine-1-phosphate lyase 1,3
 Ras protein specific guanine nucleotide releasing factor 1,3
 Rap guanine nucleotide exchange factor 2,3
 RUNX1 partner transcriptional co-repressor 1,3
 sphingosine-1-phosphate receptor 4,3
 sphingosine-1-phosphate receptor 1,3
 sphingosine-1-phosphate phosphatase 2,3
 sphingosine-1-phosphate phosphatase 1,3
 sphingomyelin synthase 2,3
 spermidine/spermine N1-acetyltransferase family member 2,3
 sphingomyelin synthase 1,3
 protoporphyrinogen oxidase,3
 sphingomyelin phosphodiesterase 2,3
 purinergic receptor P2X 1,3
 purinergic receptor P2X 2,3
 purinergic receptor P2X 3,3
 spermine oxidase,3
" RNA polymerase II, I and III subunit K",3
" RNA polymerase II, I and III subunit F",3
 G protein-coupled receptor kinase 5,3
 RAS guanyl releasing protein 4,3
 retinol dehydrogenase 12,3
 retinol dehydrogenase 13,3
 solute carrier family 39 member 4,3
 riboflavin kinase,3
 G protein-coupled estrogen receptor 1,3
 RAS p21 protein activator 2,3
 RAS p21 protein activator 1,3
 RAR related orphan receptor C,3
 G protein subunit alpha 14,3
 ribonucleic acid export 1,3
 RANBP2-type and C3HC4-type zinc finger containing 1,3
" RAN, member RAS oncogene family",3
 solute carrier family 39 member 14,3
 G protein-coupled receptor kinase 1,3
 RAD50 double strand break repair protein,3
 G protein-coupled receptor kinase 4,3
 retinol dehydrogenase 11,3
 solute carrier family 39 member 8,3
" RNA polymerase II, I and III subunit E",3
 renin,3
 regulator of G protein signaling 2,3
 regulator of calcineurin 1,3
 regulatory factor X associated ankyrin containing protein,3
 regulatory factor X associated protein,3
 regulatory factor X5,3
 solute carrier family 5 member 1,3
 solute carrier family 46 member 1,3
 solute carrier family 4 member 4,3
" REL proto-oncogene, NF-kB subunit",3
 replication factor C subunit 1,3
 replication factor C subunit 2,3
 replication factor C subunit 3,3
 replication factor C subunit 4,3
 replication factor C subunit 5,3
 RNA binding motif protein 8A,3
 RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,3
 phosphodiesterase 7B,3
 N-acetyl-alpha-glucosaminidase,3
 transient receptor potential cation channel subfamily C member 3,3
 nicotinamide phosphoribosyltransferase,3
 uridine phosphorylase 2,3
 nicotinate phosphoribosyltransferase,3
 autophagy related 9B,3
 autophagy related 9A,3
 autophagy related 3,3
 nodal growth differentiation factor,3
 ataxin 3 like,3
 ataxin 3,3
 ataxin 2 like,3
 ataxin 2,3
 ataxin 1 like,3
 ataxin 1,3
 nuclear cap binding protein subunit 2,3
 uridine phosphorylase 1,3
 nuclear cap binding protein subunit 2 like,3
 uridine-cytidine kinase 1,3
 uridine-cytidine kinase 1 like 1,3
 phosphodiesterase 6G,3
 nicotinamide nucleotide adenylyltransferase 3,3
 beta-carotene oxygenase 1,3
 neuropeptide Y receptor Y1,3
 neuropilin 1,3
" beta-1,4-galactosyltransferase 7",3
 uroporphyrinogen decarboxylase,3
" beta-1,4-galactosyltransferase 4",3
 neurotrophic receptor tyrosine kinase 3,3
" beta-1,3-glucuronyltransferase 3",3
" beta-1,3-galactosyltransferase 6",3
" beta-1,3-galactosyltransferase 5",3
 uroporphyrinogen III synthase,3
" beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)",3
 uridine-cytidine kinase 2,3
 nicotinamide nucleotide adenylyltransferase 1,3
 nicotinamide nucleotide adenylyltransferase 2,3
 aspartoacylase,3
 asparagine synthetase (glutamine-hydrolyzing),3
 angiotensin II receptor type 2,3
 ubiquitin conjugating enzyme E2 L6,3
 ATP binding cassette subfamily C member 3,3
 ATP binding cassette subfamily C member 8,3
 ubiquitin conjugating enzyme E2 D4 (putative),3
 ubiquitin conjugating enzyme E2 D3,3
 ubiquitin conjugating enzyme E2 D2,3
 ubiquitin conjugating enzyme E2 D1,3
 ATP binding cassette subfamily G member 2 (Junior blood group),3
 ATP synthase membrane subunit e,3
 ATP synthase membrane subunit f,3
 ATP synthase membrane subunit g,3
 nucleoporin 98 and 96 precursor,3
" nucleoside-triphosphatase, cancer-related",3
 nudix hydrolase 12,3
 nudix hydrolase 16,3
 nudix hydrolase 2,3
 ubiquitin conjugating enzyme E2 L3,3
 apoptotic chromatin condensation inducer 1,3
 arylsulfatase B,3
 aquaporin 1 (Colton blood group),3
 arylsulfatase A,3
 aryl hydrocarbon receptor nuclear translocator 2,3
 nuclear receptor binding SET domain protein 2,3
 ubiquitin specific peptidase 8,3
 ubiquitin specific peptidase 7,3
 ubiquitin protein ligase E3A,3
 arginine vasopressin receptor 2,3
 nuclear receptor coactivator 4,3
 nuclear receptor corepressor 1,3
 arachidonate 15-lipoxygenase type B,3
" arachidonate 12-lipoxygenase, 12R type",3
 ubiquitin like modifier activating enzyme 7,3
 ubiquitin like modifier activating enzyme 1,3
 nuclear transcription factor Y subunit alpha,3
 nuclear transcription factor Y subunit beta,3
 betaine--homocysteine S-methyltransferase,3
 ALK receptor tyrosine kinase,3
 neurofibromin 2,3
 myocyte enhancer factor 2D,3
 4-hydroxy-2-oxoglutarate aldolase 1,3
 zinc finger and BTB domain containing 16,3
" 5'-nucleotidase, cytosolic IIIA",3
 myosin light chain 4,3
 myosin light chain 6,3
" 5'-nucleotidase, cytosolic IIIB",3
 zinc finger E-box binding homeobox 1,3
 xylosyltransferase 2,3
 5-hydroxytryptamine receptor 5A,3
 xylosyltransferase 1,3
 6-phosphogluconolactonase,3
 6-pyruvoyltetrahydropterin synthase,3
 ADP dependent glucokinase,3
 myosin light chain 6B,3
 myotubularin 1,3
 3-oxoacid CoA-transferase 2,3
 carbonic anhydrase 4,3
 biliverdin reductase B,3
 carbonyl reductase 3,3
 catenin delta 1,3
 mitogen-activated protein kinase kinase kinase 2,3
 caspase recruitment domain family member 11,3
 mixed lineage kinase domain like pseudokinase,3
 molybdenum cofactor synthesis 1,3
 monoacylglycerol O-acyltransferase 2,3
 monoacylglycerol O-acyltransferase 3,3
hsa:390877,3
" 3'(2'), 5'-bisphosphate nucleotidase 2",3
" 3-hydroxyanthranilate 3,4-dioxygenase",3
 carboxypeptidase B2,3
 carboxypeptidase A3,3
 3-oxoacid CoA-transferase 1,3
 multiple inositol-polyphosphate phosphatase 1,3
 carbonyl reductase 4,3
 myotubularin related protein 1,3
 vitamin K epoxide reductase complex subunit 1 like 1,3
 vitamin K epoxide reductase complex subunit 1,3
 myotubularin related protein 2,3
 neuraminidase 2,3
 bone morphogenetic protein 5,3
 neuraminidase 3,3
 neuraminidase 4,3
" ALG12 alpha-1,6-mannosyltransferase",3
 ALG13 UDP-N-acetylglucosaminyltransferase subunit,3
 neuregulin 1,3
 neuregulin 2,3
 ALG14 UDP-N-acetylglucosaminyltransferase subunit,3
" ALG2 alpha-1,3/1,6-mannosyltransferase",3
 neurofibromin 1,3
 bisphosphoglycerate mutase,3
 biotinidase,3
" ALG3 alpha-1,3- mannosyltransferase",3
" ALG9 alpha-1,2-mannosyltransferase",3
 branched chain keto acid dehydrogenase E1 subunit alpha,3
 branched chain keto acid dehydrogenase E1 subunit beta,3
" ALG11 alpha-1,2-mannosyltransferase",3
 calcium activated nucleotidase 1,3
 myotubularin related protein 6,3
 calcium voltage-gated channel subunit alpha1 E,3
 myotubularin related protein 7,3
 myotubularin related protein 8,3
 natriuretic peptide B,3
 calcium binding and coiled-coil domain 2,3
 natriuretic peptide C,3
 ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase,3
 nectin cell adhesion molecule 1,3
 nectin cell adhesion molecule 2,3
 cadherin 5,3
 vesicle associated membrane protein 8,3
 neogenin 1,3
" ADP-ribose/CDP-alcohol diphosphatase, manganese dependent",3
 angiotensin converting enzyme 2,3
 aspartate dehydrogenase domain containing,3
 aldehyde dehydrogenase 5 family member A1,3
 BCL6 transcription repressor,3
 C-X-C motif chemokine receptor 5,3
 C-X3-C motif chemokine receptor 1,3
 parathyroid hormone 1 receptor,3
 pantothenate kinase 3,3
 pantothenate kinase 2,3
 pantothenate kinase 1,3
 tyrosinase,3
 aldehyde dehydrogenase 18 family member A1,3
 aldehyde dehydrogenase 4 family member A1,3
 C-C motif chemokine ligand 23,3
 aldo-keto reductase family 1 member C2,3
 aldo-keto reductase family 1 member D1,3
 translocator protein,3
 pancreatic and duodenal homeobox 1,3
 acyl-CoA synthetase medium chain family member 1,3
 C1GALT1 specific chaperone 1,3
 alkaline ceramidase 1,3
 alkaline ceramidase 2,3
 alkylglycerone phosphate synthase,3
" alpha 1,4-galactosyltransferase (P blood group)",3
 tyrosinase related protein 1,3
 C1GALT1 specific chaperone 1 like,3
" alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",3
" alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A",3
" alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B",3
" alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",3
 p53-induced death domain protein 1,3
" alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B",3
 alpha-L-iduronidase,3
 C-X-C motif chemokine receptor 3,3
 patched 2,3
 alpha-N-acetylgalactosaminidase,3
 adenosylmethionine decarboxylase 1,3
 C-C motif chemokine ligand 24,3
 phosphatidylinositol 4-kinase type 2 beta,3
 C-C motif chemokine ligand 26,3
 phosphatidylinositol 4-kinase type 2 alpha,3
 phosphatidylinositol 4-kinase beta,3
 phosphatidylinositol 4-kinase alpha,3
 C-C motif chemokine ligand 18,3
 C-C motif chemokine ligand 16,3
 acyl-CoA wax alcohol acyltransferase 2,3
 C-C motif chemokine ligand 15,3
" phosphate cytidylyltransferase 2, ethanolamine",3
 acyl-CoA thioesterase 8,3
 C-C motif chemokine ligand 27,3
" phosphatase, orphan 2",3
 C-C motif chemokine ligand 8,3
 C-C motif chemokine ligand 14,3
 adenosine A3 receptor,3
 adenosine deaminase,3
 C-C motif chemokine ligand 1,3
 tripartite motif containing 25,3
 C-C motif chemokine receptor 2,3
 C-C motif chemokine receptor 6,3
 BUB1 mitotic checkpoint serine/threonine kinase,3
" tryptophan 2,3-dioxygenase",3
 BRICK1 subunit of SCAR/WAVE actin nucleating complex,3
 C-C motif chemokine receptor 7,3
 C-X-C motif chemokine ligand 13,3
" BMI1 proto-oncogene, polycomb ring finger",3
 C-X-C motif chemokine ligand 14,3
 C9orf72-SMCR8 complex subunit,3
" adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1",3
 activin A receptor type 1B,3
 activin A receptor type 1C,3
 opioid receptor mu 1,3
 opioid receptor delta 1,3
 phosphodiesterase 6B,3
 oxoglutarate dehydrogenase,3
 oxidized low density lipoprotein receptor 1,3
" ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3",3
 phosphodiesterase 6A,3
 ornithine transcarbamylase,3
 transient receptor potential cation channel subfamily V member 4,3
 phosphatidylinositol-4-phosphate 5-kinase like 1,3
" actin alpha 2, smooth muscle",3
 acetoacetyl-CoA synthetase,3
 amyloid beta precursor protein,3
 heparan sulfate proteoglycan 2,3
 phosphodiesterase 5A,3
 optineurin,3
 oncostatin M receptor,3
 ornithine decarboxylase 1,3
 aminolevulinate dehydratase,3
" acid phosphatase 2, lysosomal",3
 oxoglutarate dehydrogenase L,3
 oxytocin/neurophysin I prepropeptide,3
 oncostatin M,3
 alpha-methylacyl-CoA racemase,3
 solute carrier family 19 member 1,2
 solute carrier family 1 member 7,2
 heterogeneous nuclear ribonucleoprotein A3,2
 vimentin,2
leukocyte immunoglobulin-like receptor subfamily B member 3,2
 serine and arginine rich splicing factor 9,2
 solute carrier family 26 member 9,2
hsa:112267859,2
 solute carrier family 10 member 1,2
 solute carrier family 18 member A3,2
 solute carrier family 26 member 6,2
 solute carrier family 26 member 3,2
 solute carrier family 22 member 1,2
 solute carrier family 16 member 10,2
 transient receptor potential cation channel subfamily C member 6,2
"keratin, type I cuticular Ha4",2
 serine and arginine rich splicing factor 8,2
 transient receptor potential cation channel subfamily M member 2,2
 hydroxysteroid 17-beta dehydrogenase 3,2
 solute carrier family 31 member 1,2
 titin,2
 solute carrier family 34 member 2,2
 thyroid hormone receptor alpha,2
 thyroid hormone receptor beta,2
 hydroxypyruvate isomerase (putative),2
 thyrotropin releasing hormone receptor,2
 transient receptor potential cation channel subfamily C member 4,2
 interferon lambda receptor 1,2
 solute carrier family 38 member 1,2
 solute carrier family 34 member 3,2
 transient receptor potential cation channel subfamily C member 5,2
putative aquaporin-7-like protein 3,2
 vasoactive intestinal peptide,2
 interferon lambda 3,2
 interferon lambda 2,2
"proline dehydrogenase 1, mitochondrial",2
 interferon lambda 1,2
 serine and arginine rich splicing factor 4,2
 solute carrier family 34 member 1,2
 vasoactive intestinal peptide receptor 2,2
 solute carrier family 33 member 1,2
 serine and arginine rich splicing factor 5,2
 very low density lipoprotein receptor,2
 transient receptor potential cation channel subfamily V member 1,2
 serine and arginine rich splicing factor 6,2
 vesicle associated membrane protein 3,2
 solute carrier family 27 member 6,2
 tight junction protein 2,2
 triadin,2
 transient receptor potential cation channel subfamily V member 2,2
 solute carrier family 1 member 5,2
 signal-induced proliferation-associated 1,2
 sirtuin 5,2
 sirtuin 4,2
 transformer 2 beta homolog,2
 serpin family B member 5,2
 hephaestin like 1,2
 transformer 2 alpha homolog,2
 transient receptor potential cation channel subfamily V member 5,2
 transient receptor potential cation channel subfamily V member 6,2
 serpin family G member 1,2
 sirtuin 2,2
 translocase of outer mitochondrial membrane 40,2
 zinc finger FYVE-type containing 9,2
 signal transducing adaptor molecule 2,2
 transmembrane 7 superfamily member 2,2
 transcription factor Dp-1,2
 serum/glucocorticoid regulated kinase 2,2
 signal transducing adaptor molecule,2
 serum/glucocorticoid regulated kinase family member 3,2
 translocase of outer mitochondrial membrane 40 like,2
 sigma non-opioid intracellular receptor 1,2
 xylulokinase,2
 zinc finger FYVE-type containing 1,2
 intercellular adhesion molecule 2,2
 sestrin 1,2
 sestrin 3,2
 zinc finger FYVE-type containing 16,2
 hephaestin,2
 sirtuin 7,2
 trehalase,2
 small nuclear ribonucleoprotein polypeptides B and B1,2
 toll like receptor 1,2
 sodium channel epithelial 1 subunit gamma,2
ICOS ligand,2
 sodium channel epithelial 1 subunit beta,2
" transcription factor A, mitochondrial",2
 sodium channel epithelial 1 subunit alpha,2
 hepatocyte growth factor-regulated tyrosine kinase substrate,2
 snail family transcriptional repressor 2,2
 small ubiquitin like modifier 4,2
 small ubiquitin like modifier 3,2
 small ubiquitin like modifier 2,2
 small ubiquitin like modifier 1,2
 heterogeneous nuclear ribonucleoprotein A1 like 2,2
 trans-L-3-hydroxyproline dehydratase,2
 heterogeneous nuclear ribonucleoprotein A1,2
 small nuclear ribonucleoprotein D3 polypeptide,2
" serine peptidase inhibitor, Kunitz type 1",2
